==2225039== NVPROF is profiling process 2225039, command: ./lab1
==2225039== Profiling application: ./lab1
==2225039== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",98.559648,532.092000,1,532.092000,532.092000,532.092000,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.758704,4.096000,2,2.048000,1.920000,2.176000,"[CUDA memcpy DtoH]"
"GPU activities",0.681648,3.680000,1,3.680000,3.680000,3.680000,"reduceCounts(unsigned long*, unsigned long*, unsigned long, unsigned long)"
"API calls",93.366878,99536.968000,2,49768.484000,6.605000,99530.363000,"cudaMalloc"
"API calls",6.060458,6460.959000,2,3230.479000,10.568000,6450.391000,"cudaLaunchKernel"
"API calls",0.297971,317.662000,2,158.831000,19.929000,297.733000,"cudaMemcpy"
"API calls",0.136458,145.476000,114,1.276000,0.082000,56.362000,"cuDeviceGetAttribute"
"API calls",0.110482,117.783000,2,58.891000,5.280000,112.503000,"cudaFree"
"API calls",0.018159,19.359000,1,19.359000,19.359000,19.359000,"cuDeviceGetName"
"API calls",0.006339,6.758000,1,6.758000,6.758000,6.758000,"cuDeviceGetPCIBusId"
"API calls",0.001469,1.566000,3,0.522000,0.091000,1.306000,"cuDeviceGetCount"
"API calls",0.000480,0.512000,1,0.512000,0.512000,0.512000,"cudaGetDeviceCount"
"API calls",0.000438,0.467000,2,0.233000,0.111000,0.356000,"cuDeviceGet"
"API calls",0.000385,0.410000,1,0.410000,0.410000,0.410000,"cuDeviceTotalMem"
"API calls",0.000310,0.330000,1,0.330000,0.330000,0.330000,"cuModuleGetLoadingMode"
"API calls",0.000174,0.186000,1,0.186000,0.186000,0.186000,"cuDeviceGetUuid"
